ogc_fid,Longitude,x_coordinate_address,x_coordinate_zip,property_id,street_name,x_coordinate_city,census_year,Latitude,parking_type,block_id,clue_small_area,parking_spaces,base_property_id,x_coordinate_state,FID,Area of Interest
92707,144.9684506,,,107861,19 Queensberry Street,,2017,-37.80545738,Residential,268,Carlton,1,107861,,com_clue_offstreet_car_parking_2017.92707,Off Street Parking
92708,144.9543825,,,109214,86 Story Street,,2017,-37.79641283,Residential,918,Parkville,1,109214,,com_clue_offstreet_car_parking_2017.92708,Off Street Parking
92709,144.9633348,,,103949,333 Flinders Lane,,2017,-37.81781766,Private,14,Melbourne (CBD),10,103949,,com_clue_offstreet_car_parking_2017.92709,Off Street Parking
92710,144.9901987,,,104366,14 Gipps Street,,2017,-37.81331651,Residential,603,East Melbourne,2,104366,,com_clue_offstreet_car_parking_2017.92710,Off Street Parking
92713,144.9374709,,,108270,21-31 Reynolds Street,,2017,-37.79725949,Private,312,North Melbourne,2,108270,,com_clue_offstreet_car_parking_2017.92713,Off Street Parking
92714,144.9854625,,,107636,127 Powlett Street,,2017,-37.8124422,Residential,615,East Melbourne,2,107636,,com_clue_offstreet_car_parking_2017.92714,Off Street Parking
92719,144.9876944,,,108737,57 Simpson Street,,2017,-37.81498715,Residential,608,East Melbourne,1,108737,,com_clue_offstreet_car_parking_2017.92719,Off Street Parking
92723,144.9537863,,,110117,369-381 William Street,,2017,-37.80681609,Private,433,West Melbourne (Residential),19,110117,,com_clue_offstreet_car_parking_2017.92723,Off Street Parking
92724,144.9513104,,,107917,485-489 Queensberry Street,,2017,-37.8035006,Residential,355,North Melbourne,2,107917,,com_clue_offstreet_car_parking_2017.92724,Off Street Parking
92726,144.9679947,,,108582,210-222 Russell Street,,2017,-37.81132789,Commercial,67,Melbourne (CBD),445,108582,,com_clue_offstreet_car_parking_2017.92726,Off Street Parking
92727,144.9506624,,,108001,502 Queensberry Street,,2017,-37.8028658,Residential,369,North Melbourne,1,108001,,com_clue_offstreet_car_parking_2017.92727,Off Street Parking
92728,144.9563184,,,106750,35-37 Morrah Street,,2017,-37.79590558,Residential,917,Parkville,3,106750,,com_clue_offstreet_car_parking_2017.92728,Off Street Parking
92730,144.9477686,,,103852,221 Flemington Road,,2017,-37.79444478,Residential,353,North Melbourne,2,103852,,com_clue_offstreet_car_parking_2017.92730,Off Street Parking
92731,144.9602433,,,558656,117 Leicester Street,,2017,-37.80315462,Residential,258,Carlton,1,558656,,com_clue_offstreet_car_parking_2017.92731,Off Street Parking
92733,144.9883131,,,108791,62-68 George Street,,2017,-37.81543709,Residential,605,East Melbourne,2,108791,,com_clue_offstreet_car_parking_2017.92733,Off Street Parking
92735,144.9457852,,,107962,656 Queensberry Street,,2017,-37.80239981,Private,333,North Melbourne,2,107962,,com_clue_offstreet_car_parking_2017.92735,Off Street Parking
92736,144.98898,,,104313,51 Gipps Street,,2017,-37.81364407,Residential,604,East Melbourne,2,104313,,com_clue_offstreet_car_parking_2017.92736,Off Street Parking
92737,144.9877269,,,108740,63 Simpson Street,,2017,-37.81481811,Residential,608,East Melbourne,1,108740,,com_clue_offstreet_car_parking_2017.92737,Off Street Parking
92738,144.9648282,,,104469,114-152 Grattan Street,,2017,-37.7999972,Private,205,Carlton,60,104469,,com_clue_offstreet_car_parking_2017.92738,Off Street Parking
92739,144.9852775,,,107628,63-71 Powlett Street,,2017,-37.81433498,Residential,617,East Melbourne,2,107628,,com_clue_offstreet_car_parking_2017.92739,Off Street Parking
92740,144.9534335,,,104177,74 Gatehouse Street,,2017,-37.79516905,Residential,922,Parkville,1,104177,,com_clue_offstreet_car_parking_2017.92740,Off Street Parking
92742,144.9582721,,,103997,472-482 Flinders Street,,2017,-37.81974184,Commercial,12,Melbourne (CBD),330,103997,,com_clue_offstreet_car_parking_2017.92742,Off Street Parking
92745,144.9544297,,,104161,116 Gatehouse Street,,2017,-37.79438498,Residential,922,Parkville,2,104161,,com_clue_offstreet_car_parking_2017.92745,Off Street Parking
92746,144.953739,,,107892,411-413 Queensberry Street,,2017,-37.80376433,Residential,356,North Melbourne,1,107892,,com_clue_offstreet_car_parking_2017.92746,Off Street Parking
92747,144.9645549,,,101601,113 Cardigan Street,,2017,-37.80399708,Private,255,Carlton,2,101601,,com_clue_offstreet_car_parking_2017.92747,Off Street Parking
92748,144.9888633,,,104537,66 Grey Street,,2017,-37.81193841,Residential,602,East Melbourne,2,104537,,com_clue_offstreet_car_parking_2017.92748,Off Street Parking
92751,144.9814738,,,105146,36-38 Jolimont Terrace,,2017,-37.81821367,Residential,656,East Melbourne,7,105146,,com_clue_offstreet_car_parking_2017.92751,Off Street Parking
92752,144.9377566,,,627691,56 South Wharf Drive,,2017,-37.8223031,Residential,773,Docklands,2,627691,,com_clue_offstreet_car_parking_2017.92752,Off Street Parking
92753,144.9462653,,,563250,58 Baillie Street,,2017,-37.80118717,Residential,331,North Melbourne,1,563250,,com_clue_offstreet_car_parking_2017.92753,Off Street Parking
92754,144.965973,,,106085,113-119 Lygon Street,,2017,-37.80425101,Private,254,Carlton,1,106085,,com_clue_offstreet_car_parking_2017.92754,Off Street Parking
92755,144.9445177,,,104748,118 Hawke Street,,2017,-37.80898813,Residential,416,West Melbourne (Residential),2,104748,,com_clue_offstreet_car_parking_2017.92755,Off Street Parking
92757,144.9539596,,,109698,225-229 Victoria Street,,2017,-37.80587196,Private,434,West Melbourne (Residential),1,109698,,com_clue_offstreet_car_parking_2017.92757,Off Street Parking
92758,144.9502687,,,103500,110-114 Errol Street,,2017,-37.80235775,Residential,369,North Melbourne,13,103500,,com_clue_offstreet_car_parking_2017.92758,Off Street Parking
92760,144.9797623,,,100255,47 Agnes Street,,2017,-37.8172661,Residential,656,East Melbourne,2,100255,,com_clue_offstreet_car_parking_2017.92760,Off Street Parking
92761,144.9617628,,,104080,83-93 Franklin Street,,2017,-37.80816923,Private,105,Melbourne (CBD),21,104080,,com_clue_offstreet_car_parking_2017.92761,Off Street Parking
92764,144.9846646,,,104973,170 Hotham Street,,2017,-37.81367552,Residential,616,East Melbourne,1,104973,,com_clue_offstreet_car_parking_2017.92764,Off Street Parking
92765,144.9586138,,,105732,452-456 Lonsdale Street,,2017,-37.81298088,Private,73,Melbourne (CBD),19,105732,,com_clue_offstreet_car_parking_2017.92765,Off Street Parking
92766,144.979993,,,105134,82-84 Jolimont Street,,2017,-37.81822582,Private,656,East Melbourne,9,105134,,com_clue_offstreet_car_parking_2017.92766,Off Street Parking
92767,144.9803771,,,614000,200 Batman Avenue,,2017,-37.82181585,Private,659,Melbourne (Remainder),200,100847,,com_clue_offstreet_car_parking_2017.92767,Off Street Parking
92769,144.9592776,,,105481,348-358 La Trobe Street,,2017,-37.81067976,Residential,94,Melbourne (CBD),14,105481,,com_clue_offstreet_car_parking_2017.92769,Off Street Parking
92770,144.9642823,,,109365,644-658 Swanston Street,,2017,-37.80131908,Residential,245,Carlton,15,109365,,com_clue_offstreet_car_parking_2017.92770,Off Street Parking
