,Lastupdated,Status_Timestamp,Zone_Number,Status_Description,Parkingbay_ID,Latitude,Longitude,Area of Interest
1172,2023-10-10T21:20:20+11:00,2023-10-10T21:10:25+11:00,7610,Present,5466,-37.81253494,144.95944699559942,On Street Parking
1173,2023-10-10T21:20:20+11:00,2023-10-10T18:32:32+11:00,7610,Present,5485,-37.81268611,144.95951470464024,On Street Parking
1174,2023-10-10T21:20:20+11:00,2023-10-10T20:55:35+11:00,7610,Present,5477,-37.81263517,144.95949188877046,On Street Parking
1175,2023-10-10T21:20:20+11:00,2023-10-10T21:09:48+11:00,7610,Unoccupied,5469,-37.81258423,144.95946907350998,On Street Parking
1176,2023-10-10T21:20:20+11:00,2023-10-10T20:48:47+11:00,7610,Unoccupied,5476,-37.81242159,144.95939500282037,On Street Parking
1177,2023-10-10T21:20:20+11:00,2023-10-10T18:23:56+11:00,7611,Present,5464,-37.81255668,144.95958114401896,On Street Parking
1178,2023-10-10T21:20:20+11:00,2023-10-10T20:21:02+11:00,7611,Present,5478,-37.81257998,144.95959176744705,On Street Parking
1179,2023-10-10T21:20:20+11:00,2023-10-10T20:48:02+11:00,7611,Present,5458,-37.81241681,144.95951736930826,On Street Parking
1180,2023-10-10T21:20:20+11:00,2023-10-10T19:16:56+11:00,7611,Present,5463,-37.81227407,144.95945235648355,On Street Parking
1181,2023-10-10T21:20:20+11:00,2023-10-10T21:16:17+11:00,7605,Present,7790,-37.81384622,144.96016937280797,On Street Parking
1182,2023-10-10T21:20:20+11:00,2023-10-10T21:12:52+11:00,7605,Present,7804,-37.81363641,144.96007415266024,On Street Parking
1183,2023-10-10T21:20:20+11:00,2023-10-10T19:08:22+11:00,7605,Present,7805,-37.81370572,144.96010554536974,On Street Parking
1184,2023-10-10T21:20:20+11:00,2023-10-10T17:23:07+11:00,7605,Present,7785,-37.81340381,144.95996883950806,On Street Parking
1185,2023-10-10T21:20:20+11:00,2023-10-10T21:10:47+11:00,7605,Unoccupied,7786,-37.81337904,144.9599576559273,On Street Parking
1186,2023-10-10T21:20:20+11:00,2023-10-10T20:44:07+11:00,7605,Unoccupied,7783,-37.81345216,144.95999082593983,On Street Parking
1187,2023-10-10T21:20:20+11:00,2023-10-10T20:24:15+11:00,7605,Present,7800,-37.81356449,144.9600416523962,On Street Parking
1188,2023-10-10T21:20:20+11:00,2023-10-10T20:47:11+11:00,7366,Unoccupied,61712,-37.81362705,144.9726229227728,On Street Parking
1189,2023-10-10T21:20:20+11:00,2023-10-10T18:54:39+11:00,7360,Present,61722,-37.81382205,144.97195893798295,On Street Parking
1190,2023-10-10T21:20:20+11:00,2023-10-10T19:49:09+11:00,7360,Present,61721,-37.813804,144.97202024487837,On Street Parking
1191,2023-10-10T21:20:20+11:00,2023-10-10T19:46:23+11:00,7360,Present,61745,-37.81397846,144.97197897317665,On Street Parking
